,Score,sentence,Sentiment
1,0,rt critical question was paytm informed about demonetization edict by pm it s clearly fishy and requires full disclosure amp   ,Neutral
2,0,rt did you vote on demonetization on modi survey app,Neutral
3,-1,rt former finsec rbi dy governor cbdt chair harvard professor lambaste demonetization if not for aam aadmi listen to th  ,Negative
4,0,rt gurugram haryana post office employees provide cash exchange to patients in hospitals demonetization t co ugmxup   ,Neutral
5,0,rt reddy wedding cartoon demonetization reddywedding t co u glnrq f,Neutral
6,-1,india  s demonetization blackmoney a symptom not the disease t co hsl ihj qe via,Negative
7,0,rt rs lakh looted from a bank in kishtwar in j amp k third such incident since demonetization that s how terrorists have  ,Neutral
8,1,rt calling all nationalists to join walk for corruptionfreeindia and spread the benefits of demonetization among the mas  ,Positive
9,1,rt many opposition leaders are with on the demonetization and respect their decision but support oppositio  ,Positive
10,1,national reform now destroyed even the essence of sagan such instances urge giving demonetization a second though   t co eyysireiuq,Positive
11,0,many opposition leaders are with on the demonetization and respect their decision but support opposition just b coz of party,Neutral
12,1,rt question in narendra modi app where pm is taking feedback if people support his demonetization strategy t co pygk rmg r,Positive
13,-1,bharat band on ed u a u bd ed u b u those who are protesting demonetization are all different party leaders,Negative
14,0,rt the effect of demonetization t co a of zh f,Neutral
15,0,rt when i explained demonetization to myself and tried to put it down in my words which are not laced with any heavy technical  ,Neutral
16,-1,rt the modi app on demonetization proves once again that the govt is totally indifferent to the mounting misery and hards  ,Negative
17,-1,rt former finsec rbi dy governor cbdt chair harvard professor lambaste demonetization if not for aam aadmi listen to th  ,Negative
18,0,rt before and after gandhi ji heard they are standing there against demonetization t co nhek tpg,Neutral
19,1,rt demonetization the co operative banking sector in kerala is as good as a tax haven is kerala a black money hq t co   ,Positive
20,-1,rt former finsec rbi dy governor cbdt chair harvard professor lambaste demonetization if not for aam aadmi listen to th  ,Negative
21,0,rt did you vote on demonetization on modi survey app,Neutral
22,-1,rt former finsec rbi dy governor cbdt chair harvard professor lambaste demonetization if not for aam aadmi listen to th  ,Negative
23,0,rt before and after gandhi ji heard they are standing there against demonetization t co nhek tpg,Neutral
24,1,rt the success of demonetization will depend on how swiftly govt replenish the currency pls avoid ba  ,Positive
25,0,rt did you vote on demonetization on modi survey app,Neutral
26,-1,rt former finsec rbi dy governor cbdt chair harvard professor lambaste demonetization if not for aam aadmi listen to th  ,Negative
27,-2,rt doltiwal i mean jaichandkejriwal is hurt by demonetization as the same has rendered useless ed u a u bd ed u b u acquired funds no wo  ,Negative
28,-1,rt former finsec rbi dy governor cbdt chair harvard professor lambaste demonetization if not for aam aadmi listen to th  ,Negative
29,-2,rt doltiwal i mean jaichandkejriwal is hurt by demonetization as the same has rendered useless ed u a u bd ed u b u acquired funds no wo  ,Negative
30,-1,rt demonetization is disaster,Negative
31,0,rt did you vote on demonetization on modi survey app,Neutral
32,0,rt after the demonetization searches about narendramodi s app are trending on app stores t co zetkrqqclx,Neutral
33,0,rt teacher is there anybody who is absent today no response teacher says attendance demonetization app survey   ,Neutral
34,0,rt this tweet of bibi explains why she is having a prob with demonetization in first part she says she can t  ,Neutral
35,0,rt demonetization is communal and black money is secular,Neutral
36,0,lol demonetization effect t co aa lfy alg,Neutral
37,-2,rt doltiwal i mean jaichandkejriwal is hurt by demonetization as the same has rendered useless ed u a u bd ed u b u acquired funds no wo  ,Negative
38,-3,rt roshankar harvard s larry summers calls demonetization as poor policy with disproportionate negative impact o   t co tpyjgxfby,Negative
39,0,rt before and after gandhi ji heard they are standing there against demonetization t co nhek tpg,Neutral
40,0,lrnd frm a frnd banks r asking employees to comeback sales amp bau operations demonetization,Neutral
41,-1,rt ts is exactly what pappu amp opposition has done to themselves by opposing demonetization now none can stop modi bandwagon ti  ,Negative
42,-4,rt harvard s larry summers calls demonetization as poor policy with disproportionate negative impact on poor trade t  ,Negative
43,0,rt this tweet of bibi explains why she is having a prob with demonetization in first part she says she can t  ,Neutral
44,2,you have k followers yet you are not getting enough likes for your tweets against demonetization you need to introspect,Positive
45,1,demonetization effect visa master card amex all accepted t co ozdwcpkjai,Positive
46,0,rt this tweet of bibi explains why she is having a prob with demonetization in first part she says she can t  ,Neutral
47,2,rt demonetization survey results after hours lacs opinions amazing response amp commitment in fight against blackmoney   ,Positive
48,-1,rt former finsec rbi dy governor cbdt chair harvard professor lambaste demonetization if not for aam aadmi listen to th  ,Negative
49,-1,rt demonetization eye opener video bt i doubt as few jurnos don t want hear ve of   ,Negative
50,1,rt survey result so far by on demonetization lakh response in hrs supports note ban meradeshbadalraha  ,Positive
51,-1,rt is modisarkar s achedin campaign on demonetization a goebbelsian masterstroke that turns blind eye to groundzero shocks   ,Negative
52,1,rt survey result so far by on demonetization lakh response in hrs supports note ban meradeshbadalraha  ,Positive
